0.0000000E+00 1.6490E-01
6.5110000E-04 1.6490E-01
1.3021000E-03 1.6499E-01
1.9531000E-03 1.6514E-01
2.6042000E-03 1.6524E-01
3.2552000E-03 1.6534E-01
3.9063000E-03 1.6563E-01
4.5573000E-03 1.6575E-01
5.2084000E-03 1.6603E-01
5.8594000E-03 1.6592E-01
6.5104000E-03 1.6604E-01
7.1615000E-03 1.6624E-01
7.8125000E-03 1.6621E-01
8.4636000E-03 1.6630E-01
9.1146000E-03 1.6631E-01
9.7656000E-03 1.6635E-01
1.0416700E-02 1.6645E-01
1.1067700E-02 1.6641E-01
1.1718800E-02 1.6631E-01
1.2369800E-02 1.6621E-01
1.3020900E-02 1.6625E-01
1.3671900E-02 1.6565E-01
1.4322900E-02 1.6504E-01
1.4974000E-02 1.6425E-01
1.5625000E-02 1.6326E-01
1.6276100E-02 1.6216E-01
1.6927100E-02 1.6078E-01
1.7578100E-02 1.5928E-01
1.8229200E-02 1.5772E-01
1.8880200E-02 1.5631E-01
1.9531300E-02 1.5490E-01
2.0182300E-02 1.5335E-01
2.0833400E-02 1.5240E-01
2.1484400E-02 1.5196E-01
2.2135400E-02 1.5179E-01
2.2786500E-02 1.5155E-01
2.3437500E-02 1.5167E-01
2.4088600E-02 1.5182E-01
2.4739600E-02 1.5179E-01
2.5390600E-02 1.5211E-01
2.6041700E-02 1.5200E-01
2.6692700E-02 1.5222E-01
2.7343800E-02 1.5233E-01
2.7994800E-02 1.5234E-01
2.8645900E-02 1.5252E-01
2.9296900E-02 1.5291E-01
2.9947900E-02 1.5350E-01
3.0599000E-02 1.5420E-01
3.1250000E-02 1.5527E-01
3.1901100E-02 1.5661E-01
3.2552100E-02 1.5834E-01
3.3203100E-02 1.6043E-01
3.3854200E-02 1.6249E-01
3.4505200E-02 1.6516E-01
3.5156300E-02 1.6773E-01
3.5807300E-02 1.7076E-01
3.6458400E-02 1.7340E-01
3.7109400E-02 1.7578E-01
3.7760400E-02 1.7796E-01
3.8411500E-02 1.7965E-01
3.9062500E-02 1.8094E-01
3.9713600E-02 1.8210E-01
4.0364600E-02 1.8326E-01
4.1015600E-02 1.8469E-01
4.1666700E-02 1.8624E-01
4.2317700E-02 1.8804E-01
4.2968800E-02 1.8984E-01
4.3619800E-02 1.9217E-01
4.4270900E-02 1.9420E-01
4.4921900E-02 1.9603E-01
4.5572900E-02 1.9769E-01
4.6224000E-02 1.9903E-01
4.6875000E-02 2.0029E-01
4.7526100E-02 2.0098E-01
4.8177100E-02 2.0126E-01
4.8828100E-02 2.0128E-01
4.9479200E-02 2.0086E-01
5.0130200E-02 2.0036E-01
5.0781300E-02 1.9981E-01
5.1432300E-02 1.9963E-01
5.2083400E-02 1.9953E-01
5.2734400E-02 1.9957E-01
5.3385400E-02 1.9957E-01
5.4036500E-02 1.9925E-01
5.4687500E-02 1.9908E-01
5.5338600E-02 1.9874E-01
5.5989600E-02 1.9881E-01
5.6640600E-02 1.9859E-01
5.7291700E-02 1.9833E-01
5.7942700E-02 1.9822E-01
5.8593800E-02 1.9812E-01
5.9244800E-02 1.9812E-01
5.9895900E-02 1.9802E-01
6.0546900E-02 1.9792E-01
6.1197900E-02 1.9796E-01
6.1849000E-02 1.9796E-01
6.2500000E-02 1.9801E-01
6.3151100E-02 1.9787E-01
6.3802100E-02 1.9819E-01
6.4453100E-02 1.9812E-01
6.5104200E-02 1.9821E-01
6.5755200E-02 1.9794E-01
6.6406300E-02 1.9782E-01
6.7057300E-02 1.9795E-01
6.7708400E-02 1.9792E-01
6.8359400E-02 1.9801E-01
6.9010400E-02 1.9825E-01
6.9661500E-02 1.9883E-01
7.0312500E-02 1.9962E-01
7.0963600E-02 2.0051E-01
7.1614600E-02 2.0170E-01
7.2265600E-02 2.0286E-01
7.2916700E-02 2.0429E-01
7.3567700E-02 2.0552E-01
7.4218800E-02 2.0644E-01
7.4869800E-02 2.0725E-01
7.5520900E-02 2.0768E-01
7.6171900E-02 2.0790E-01
